Log started on 2/3/2022
Connected to Server at 16:45:39
16:51:22:Device Configured
UID: SA_P2
Mode: Static
Trial: 1
Duration: 180 seconds
Sampling Rate: 1000
Buffer Size: 1000
User: Sanjay Sarma O V
-----------------------------------
Selected MCC 118 HAT device at address:0
Device in continous scan mode
Channels: 0, 1, 2,  
Requested Scan Rate: 1000 
Actual Scan Rate: 1000.0 
16:51:24:Recording Started
16:51:25:Time Elapsed (s):1 of 180
16:51:26:Time Elapsed (s):2 of 180
16:51:27:Time Elapsed (s):3 of 180
16:51:28:Time Elapsed (s):4 of 180
16:51:29:Time Elapsed (s):5 of 180
16:51:30:Time Elapsed (s):6 of 180
16:51:31:Time Elapsed (s):7 of 180
16:51:32:Time Elapsed (s):8 of 180
16:51:33:Time Elapsed (s):9 of 180
16:51:34:Time Elapsed (s):10 of 180
16:51:35:Time Elapsed (s):11 of 180
16:51:36:Time Elapsed (s):12 of 180
16:51:37:Time Elapsed (s):13 of 180
16:51:38:Time Elapsed (s):14 of 180
16:51:39:Time Elapsed (s):15 of 180
16:51:40:Time Elapsed (s):16 of 180
16:51:41:Time Elapsed (s):17 of 180
16:51:42:Time Elapsed (s):18 of 180
16:51:43:Time Elapsed (s):19 of 180
16:51:44:Time Elapsed (s):20 of 180
16:51:45:Time Elapsed (s):21 of 180
16:51:46:Time Elapsed (s):22 of 180
16:51:47:Time Elapsed (s):23 of 180
16:51:48:Time Elapsed (s):24 of 180
16:51:49:Time Elapsed (s):25 of 180
16:51:50:Time Elapsed (s):26 of 180
16:51:51:Time Elapsed (s):27 of 180
16:51:52:Time Elapsed (s):28 of 180
16:51:53:Time Elapsed (s):29 of 180
16:51:54:Time Elapsed (s):30 of 180
16:51:55:Time Elapsed (s):31 of 180
16:51:56:Time Elapsed (s):32 of 180
16:51:57:Time Elapsed (s):33 of 180
16:51:58:Time Elapsed (s):34 of 180
16:51:59:Time Elapsed (s):35 of 180
16:52:0:Time Elapsed (s):36 of 180
16:52:1:Time Elapsed (s):37 of 180
16:52:2:Time Elapsed (s):38 of 180
16:52:3:Time Elapsed (s):39 of 180
16:52:4:Time Elapsed (s):40 of 180
16:52:5:Time Elapsed (s):41 of 180
16:52:6:Time Elapsed (s):42 of 180
16:52:7:Time Elapsed (s):43 of 180
16:52:8:Time Elapsed (s):44 of 180
16:52:9:Time Elapsed (s):45 of 180
16:52:10:Time Elapsed (s):46 of 180
16:52:11:Time Elapsed (s):47 of 180
16:52:12:Time Elapsed (s):48 of 180
16:52:13:Time Elapsed (s):49 of 180
16:52:14:Time Elapsed (s):50 of 180
16:52:15:Time Elapsed (s):51 of 180
16:52:16:Time Elapsed (s):52 of 180
16:52:17:Time Elapsed (s):53 of 180
16:52:18:Time Elapsed (s):54 of 180
16:52:19:Time Elapsed (s):55 of 180
16:52:20:Time Elapsed (s):56 of 180
16:52:21:Time Elapsed (s):57 of 180
16:52:22:Time Elapsed (s):58 of 180
16:52:23:Time Elapsed (s):59 of 180
16:52:24:Time Elapsed (s):60 of 180
16:52:25:Time Elapsed (s):61 of 180
16:52:26:Time Elapsed (s):62 of 180
16:52:27:Time Elapsed (s):63 of 180
16:52:28:Time Elapsed (s):64 of 180
16:52:29:Time Elapsed (s):65 of 180
16:52:30:Time Elapsed (s):66 of 180
16:52:31:Time Elapsed (s):67 of 180
16:52:32:Time Elapsed (s):68 of 180
16:52:33:Time Elapsed (s):69 of 180
16:52:34:Time Elapsed (s):70 of 180
16:52:35:Time Elapsed (s):71 of 180
16:52:36:Time Elapsed (s):72 of 180
16:52:37:Time Elapsed (s):73 of 180
16:52:38:Time Elapsed (s):74 of 180
16:52:39:Time Elapsed (s):75 of 180
16:52:40:Time Elapsed (s):76 of 180
16:52:41:Time Elapsed (s):77 of 180
16:52:42:Time Elapsed (s):78 of 180
16:52:43:Time Elapsed (s):79 of 180
16:52:44:Time Elapsed (s):80 of 180
16:52:45:Time Elapsed (s):81 of 180
16:52:46:Time Elapsed (s):82 of 180
16:52:47:Time Elapsed (s):83 of 180
16:52:48:Time Elapsed (s):84 of 180
16:52:49:Time Elapsed (s):85 of 180
16:52:50:Time Elapsed (s):86 of 180
16:52:51:Time Elapsed (s):87 of 180
16:52:52:Time Elapsed (s):88 of 180
16:52:53:Time Elapsed (s):89 of 180
16:52:54:Time Elapsed (s):90 of 180
16:52:55:Time Elapsed (s):91 of 180
16:52:56:Time Elapsed (s):92 of 180
16:52:57:Time Elapsed (s):93 of 180
16:52:58:Time Elapsed (s):94 of 180
16:52:59:Time Elapsed (s):95 of 180
16:53:0:Time Elapsed (s):96 of 180
16:53:1:Time Elapsed (s):97 of 180
16:53:2:Time Elapsed (s):98 of 180
16:53:3:Time Elapsed (s):99 of 180
16:53:4:Time Elapsed (s):100 of 180
16:53:5:Time Elapsed (s):101 of 180
16:53:6:Time Elapsed (s):102 of 180
16:53:7:Time Elapsed (s):103 of 180
16:53:8:Time Elapsed (s):104 of 180
16:53:9:Time Elapsed (s):105 of 180
